Product Id;Product Handle;Product Title;Product Subtitle;Product Description;Product Status;Product Thumbnail;Product Weight;Product Length;Product Width;Product Height;Product HS Code;Product Origin Country;Product MID Code;Product Material;Product Collection Title;Product Collection Handle;Product Type;Product Tags;Product Discountable;Product External Id;Product Profile Name;Product Profile Type;Variant Id;Variant Title;Variant SKU;Variant Barcode;Variant Inventory Quantity;Variant Allow Backorder;Variant Manage Inventory;Variant Weight;Variant Length;Variant Width;Variant Height;Variant HS Code;Variant Origin Country;Variant MID Code;Variant Material;Price EUR;Price MXN;Price USD;Option 1 Name;Option 1 Value;Image 1 Url;Image 2 Url;Image 3 Url;Image 4 Url;Image 5 Url;sales_channel_id_1
;ray-ban-rb3016-114517-clubmaster-azul-espejo-carey-icon;Ray Ban Rb3016 114517 Clubmaster Azul Espejo Carey Icon;;;published;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258038/productos/ray-ban-rb3016-114517-clubmaster-azul-espejo-carey-icon-1.jpg;400;;;;;;;;;;;;true;;;;;One Size;;;100;false;true;;;;;;;;;;999.99;;Size;One Size;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258038/productos/ray-ban-rb3016-114517-clubmaster-azul-espejo-carey-icon-1.jpg;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258038/productos/ray-ban-rb3016-114517-clubmaster-azul-espejo-carey-icon-2.jpg;;;;sc_01JPDNT9C673ANA5BKZNJDZ6BD
;ray-ban-rb2195-13193f-thalia-azul-degradado;Ray Ban RB2195 13193F Thalia Azul Degradado;;;published;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258039/productos/ray-ban-rb2195-13193f-thalia-azul-degradado-1.jpg;400;;;;;;;;;;;;true;;;;;One Size;;;100;false;true;;;;;;;;;;1099.99;;Size;One Size;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258039/productos/ray-ban-rb2195-13193f-thalia-azul-degradado-1.jpg;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258039/productos/ray-ban-rb2195-13193f-thalia-azul-degradado-2.jpg;;;;sc_01JPDNT9C673ANA5BKZNJDZ6BD
;ray-ban-rb5355f-5675-carey-with-tortoise-frame;Ray Ban RB5355F 5675 Carey With Tortoise Frame;;;published;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258040/productos/ray-ban-rb5355f-5675-carey-with-tortoise-frame-1.jpg;400;;;;;;;;;;;;true;;;;;One Size;;;100;false;true;;;;;;;;;;1099.99;;Size;One Size;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258040/productos/ray-ban-rb5355f-5675-carey-with-tortoise-frame-1.jpg;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258040/productos/ray-ban-rb5355f-5675-carey-with-tortoise-frame-2.jpg;;;;sc_01JPDNT9C673ANA5BKZNJDZ6BD
;ray-ban-rb3647n-002-r5-round-double-bridge-original-negro;Ray Ban Rb3647n 002/r5 Round Double Bridge Original Negro;;;published;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258041/productos/ray-ban-rb3647n-002-r5-round-double-bridge-original-negro-1.jpg;400;;;;;;;;;;;;true;;;;;One Size;;;100;false;true;;;;;;;;;;999.99;;Size;One Size;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258041/productos/ray-ban-rb3647n-002-r5-round-double-bridge-original-negro-1.jpg;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258042/productos/ray-ban-rb3647n-002-r5-round-double-bridge-original-negro-2.jpg;;;;sc_01JPDNT9C673ANA5BKZNJDZ6BD
;ray-ban-rb0101s-001-vr-aviator-reverse-g-15-gold;Ray Ban RB0101S 001/VR Aviator Reverse G-15 Gold;;;published;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258042/productos/ray-ban-rb0101s-001-vr-aviator-reverse-g-15-gold-1.jpg;400;;;;;;;;;;;;true;;;;;One Size;;;100;false;true;;;;;;;;;;1249.99;;Size;One Size;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258042/productos/ray-ban-rb0101s-001-vr-aviator-reverse-g-15-gold-1.jpg;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258043/productos/ray-ban-rb0101s-001-vr-aviator-reverse-g-15-gold-2.jpg;;;;sc_01JPDNT9C673ANA5BKZNJDZ6BD
;ray-ban-rb0502s-6709cb-wayfarer-reverse-transparent-brown;Ray Ban RB0502S 6709CB Wayfarer Reverse Transparent Brown;;;published;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258043/productos/ray-ban-rb0502s-6709cb-wayfarer-reverse-transparent-brown-1.jpg;400;;;;;;;;;;;;true;;;;;One Size;;;100;false;true;;;;;;;;;;1349.99;;Size;One Size;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258043/productos/ray-ban-rb0502s-6709cb-wayfarer-reverse-transparent-brown-1.jpg;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258044/productos/ray-ban-rb0502s-6709cb-wayfarer-reverse-transparent-brown-2.jpg;;;;sc_01JPDNT9C673ANA5BKZNJDZ6BD
;ray-ban-rb0502s-67083a-wayfarer-reverse-transparent-navy-blue;Ray Ban RB0502S 67083A Wayfarer Reverse Transparent Navy Blue;;;published;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258045/productos/ray-ban-rb0502s-67083a-wayfarer-reverse-transparent-navy-blue-1.jpg;400;;;;;;;;;;;;true;;;;;One Size;;;100;false;true;;;;;;;;;;1349.99;;Size;One Size;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258045/productos/ray-ban-rb0502s-67083a-wayfarer-reverse-transparent-navy-blue-1.jpg;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258045/productos/ray-ban-rb0502s-67083a-wayfarer-reverse-transparent-navy-blue-2.jpg;;;;sc_01JPDNT9C673ANA5BKZNJDZ6BD
;ray-ban-rb0502s-6677vr-wayfarer-reverse-g-15-black;Ray Ban RB0502S 6677VR Wayfarer Reverse G-15 Black;;;published;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258046/productos/ray-ban-rb0502s-6677vr-wayfarer-reverse-g-15-black-1.jpg;400;;;;;;;;;;;;true;;;;;One Size;;;100;false;true;;;;;;;;;;1349.99;;Size;One Size;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258046/productos/ray-ban-rb0502s-6677vr-wayfarer-reverse-g-15-black-1.jpg;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258047/productos/ray-ban-rb0502s-6677vr-wayfarer-reverse-g-15-black-2.jpg;;;;sc_01JPDNT9C673ANA5BKZNJDZ6BD
;ray-ban-rb0502s-6707gr-wayfarer-reverse-dark-grey;Ray Ban RB0502S 6707GR Wayfarer Reverse Dark Grey;;;published;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258047/productos/ray-ban-rb0502s-6707gr-wayfarer-reverse-dark-grey-1.jpg;400;;;;;;;;;;;;true;;;;;One Size;;;100;false;true;;;;;;;;;;1349.99;;Size;One Size;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258047/productos/ray-ban-rb0502s-6707gr-wayfarer-reverse-dark-grey-1.jpg;;;;;sc_01JPDNT9C673ANA5BKZNJDZ6BD
;ray-ban-rb4416-601-31-new-clubmaster-g-15-gold;Ray Ban RB4416 601/31 New Clubmaster G-15 Gold;;;published;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258048/productos/ray-ban-rb4416-601-31-new-clubmaster-g-15-gold-1.jpg;400;;;;;;;;;;;;true;;;;;One Size;;;100;false;true;;;;;;;;;;1249.99;;Size;One Size;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258048/productos/ray-ban-rb4416-601-31-new-clubmaster-g-15-gold-1.jpg;https://res.cloudinary.com/de0bufgxm/image/upload/v1742258049/productos/ray-ban-rb4416-601-31-new-clubmaster-g-15-gold-2.jpg;;;;sc_01JPDNT9C673ANA5BKZNJDZ6BD
